"Sample"	"-30"	"-29"	"-28"	"-27"	"-26"	"-25"	"-24"	"-23"	"-22"	"-21"	"-20"	"-19"	"-18"	"-17"	"-16"	"-15"	"-14"	"-13"	"-12"	"-11"	"-10"	"-9"	"-8"	"-7"	"-6"	"-5"	"-4"	"-3"	"-2"	"-1"	"0"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	28""	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"80"
2020CONT.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	44	126	157	213	276	278	278	278	257	257	262	258	258	258	204	191	193	196	206	195	180	173	178	165	170	173	132	160	157	157	158	144	134	134	152	152	162	157	140	140	119	85	85	67	75	78	73	68	103	103	98	83	75	72	78	96	95	100	101	124	131	121	111	111	111	116	104	98	100	106	116	126	134	172	178	180	178	178	181	193
2020CONT.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	121	139	172	216	232	239	239	239	213	213	213	213	221	168	168	168	168	168	168	168	168	168	168	168	168	157	154	124	104	106	100	88	86	80	91	93	75	121	129	127	129	101	62	62	55	67	65	63	59	65	54	59	59	73	77	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	8	6	6	9	18	21	29	39
2020CONT.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201	270	319	319	319	224	232	334	334	334	229	229	229	198	198	198	173	180	163	160	152	111	113	144	139	129	127	109	100	78	75	91	103	121	122	116	111	103	101	93	83	85	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	139	155	154	154	129	124	126	122	126	121	113	108	85	77	83	96	98	100	93	98	113
2020CONT.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	219	219	235	247	245	253	262	260	270	273	257	249	240	226	222	206	188	198	199	204	208	219	216	214	213	198	178	106	126	129	139	168	191	191	155	134	118	106	109	106	104	91	98	98	98	98	98	98	98	98	98	88	85	100	147	147	149	147	145	145	145	149	136	113	113	106	96	104	104	106	101	90	73	78	75	63	42	16	16	18	14
2020CONT.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	149	226	270	280	316	348	367	401	404	403	394	304	283	252	258	257	219	232	226	209	191	190	217	221	213	199	170	139	178	186	165	162	181	193	235	253	276	270	280	303	286	240	190	160	145	149	132	140	157	157	155	155	142	158	173	175	178	186	178	178	191	181	150	155	155	145	124	126	119	116	106	101	95	98	95	95	95	86	78	70	65
2020CONT.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	181	245	268	263	242	253	268	260	262	240	245	263	253	249	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	214	253	255	240	201	201	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	47	49	70	70	70	70	70	70	70	70
2020CONT.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	149	180	180	163	178	193	213	224	231	229	229	213	206	198	206	204	199	178	172	163	157	180	154	118	114	109	96	100	101	113	111	127	150	181	198	213	214	191	188	183	183	152	136	118	104	88	72	72	88	81	63	65	78	78	78	88	106	111	111	96	80	67	67	60	50	63	90	104	109	114	111	108	109	113	100	77	91	127	149	142
2020CONT.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201	239	247	249	242	217	191	204	237	285	280	280	263	226	219	172	172	172	163	142	126	129	134	136	126	126	116	114	109	122	140	152	173	183	232	221	175	155	140	140	108	90	80	70	78	83	83	62	62	45	37	41	47	59	54	55	60	54	50	54	47	50	52	70	101	122	124	116	127	119	119	145	165	208	209	193	183	181	168	152	132
2020CONT.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	199	211	257	263	293	337	330	345	326	296	258	255	247	245	235	206	196	172	142	144	111	136	155	160	168	181	196	208	209	213	186	152	152	136	139	144	132	139	142	132	106	86	86	77	65	67	59	59	67	80	70	59	63	70	60	57	55	59	73	88	93	96	96	95	95	93	100	98	86	83	101	122	122	98	83	78	75	65	60	59	77
